index	u_check
0	2.370924735370784
1	-0.9634303327432083
2	-1.314944700970163
3	-0.3898536010366678
4	0.34476110127900683
5	0.4630579132676884
6	0.22730632776819498
7	-0.00700897686267285
8	-0.0903209908893213
9	-0.05988319795927834
10	-0.005417618527037357
11	0.021371678190951364
12	0.01847000930382919
13	0.005191300550260807
14	-0.0035387180215855074
15	-0.004639056764726525
16	-0.0019376336010166876
17	0.0004794111615909471
18	0.0011511523832890304
19	0.0006582793825303337
20	1.974574257466652e-05
21	-0.00025145158996763115
22	-0.00019234729063747312
23	-3.900405789125148e-05
24	4.9669997833304877e-05
25	5.2531581195382e-05
26	1.8547896331168742e-05
27	-7.662351415574966e-06
28	-1.316267465904744e-05
29	-6.56817577466923e-06
30	5.180086501399195e-07
31	3.0528846476982287e-06
32	2.0382362434472356e-06
33	2.6052662348576323e-07
34	-6.361921521412466e-07
35	-5.740759727218674e-07
36	-1.6400918612413163e-07
37	1.1259970426766985e-07
38	1.495724669481414e-07
39	6.43696258855683e-08
40	-1.3388734295484297e-08
41	-3.601263621125598e-08
42	-2.1069970582968288e-08
43	-8.757902316980342e-10
44	7.918339008181886e-09
45	6.185709663006268e-09
46	1.3361697641160579e-09
47	-1.5300409147359324e-09
48	-1.6693981992853518e-09
49	-6.072128532524567e-10
50	2.3140097204900002e-10
51	4.171293915488274e-10
52	2.130577072061456e-10
53	-1.2660895436453932e-11
54	-9.590478479473254e-11
55	-6.546024090478952e-11
56	-9.21744481788126e-12
57	1.9816512150594323e-11
58	1.8335003956819333e-11
59	5.445179459191368e-12
60	-3.4423569106464414e-12
61	-4.747148055883846e-12
62	-2.0959463440460752e-12
63	3.8614148367101756e-13
64	1.1360525248845667e-12
65	6.794476700327996e-13
66	3.8535115832839795e-14
67	-2.4775050833834834e-13
68	-1.9805611414193238e-13
69	-4.5127214426171757e-14
70	4.7264964652090304e-14
71	5.313609361242883e-14
72	1.9911232109848426e-14
73	-6.93514772137163e-15
74	-1.3197429360009885e-14
75	-6.89768049845971e-15
76	2.851716326956288e-16
77	3.0130920853106115e-15
78	2.1023719810824457e-15
79	3.2329371247711465e-16
80	-6.163708178405671e-16
81	-5.851603755003066e-16
82	-1.8031303230905613e-16
83	1.0505523780843509e-16
84	1.5061987131824709e-16
85	6.819419919404021e-17
86	-1.1005242423802667e-17
87	-3.581556691325107e-17
88	-2.1895291773641043e-17
89	-1.5644131910147817e-18
90	7.746287171331574e-18
91	6.338640440944956e-18
92	1.5185469793800713e-18
93	-1.4579915609931149e-18
94	-1.6905069596645678e-18
95	-6.520521125971649e-19
96	2.0695857194846463e-19
97	4.173518211970062e-19
98	2.231519451057108e-19
99	-5.321214808372204e-21
